Hour,theta_start,K_cm_per_h,delta_theta,theta_end,cumulative_drainage_cm
1,0.43,29.7,-0.0297,0.4003,2.97
2,0.4003,15.418201661285783,-0.015418201661285784,0.3848817983387142,4.511820166128579
3,0.3848817983387142,12.097751253820322,-0.012097751253820323,0.3727840470848939,5.721595291510611
4,0.3727840470848939,10.06634230221228,-0.010066342302212282,0.3627177047826816,6.728229521731839
5,0.3627177047826816,8.65180874622054,-0.00865180874622054,0.3540658960364611,7.593410396353893
6,0.3540658960364611,7.596425885306097,-0.007596425885306097,0.346469470151155,8.353052984884503
7,0.346469470151155,6.773271728720379,-0.00677327172872038,0.3396961984224346,9.030380157756541
8,0.3396961984224346,6.110739673334033,-0.006110739673334034,0.33358545874910056,9.641454125089945
9,0.33358545874910056,5.564717374675276,-0.0055647173746752755,0.3280207413744253,10.197925862557472
10,0.3280207413744253,5.106280317592667,-0.005106280317592668,0.3229144610568326,10.708553894316738
11,0.3229144610568326,4.715551071532839,-0.004715551071532839,0.31819890998529976,11.180109001470022
12,0.31819890998529976,4.37835758093251,-0.004378357580932511,0.31382055240436724,11.617944759563272
13,0.31382055240436724,4.08429077146234,-0.00408429077146234,0.3097362616329049,12.026373836709507
14,0.3097362616329049,3.82551521124701,-0.00382551521124701,0.3059107464216579,12.408925357834207
15,0.3059107464216579,3.596009424890625,-0.003596009424890625,0.30231473699676725,12.76852630032327
16,0.30231473699676725,3.391063305979051,-0.0033910633059790513,0.2989236736907882,13.107632630921175
17,0.2989236736907882,3.2069356015506236,-0.003206935601550624,0.2957167380892376,13.428326191076238
18,0.2957167380892376,3.0406144671463053,-0.0030406144671463052,0.2926761236220913,13.732387637790868
19,0.2926761236220913,2.889646335128535,-0.0028896463351285352,0.2897864772869627,14.021352271303721
20,0.2897864772869627,2.7520112121259235,-0.002752011212125924,0.2870344660748368,14.296553392516314
21,0.2870344660748368,2.6260302364800316,-0.002626030236480032,0.28440843583835673,14.559156416164317
22,0.28440843583835673,2.510296093502817,-0.002510296093502817,0.2818981397448539,14.810186025514598
23,0.2818981397448539,2.403619911999542,-0.0024036199119995424,0.27949451983285434,15.050548016714552
24,0.27949451983285434,2.3049902323738167,-0.002304990232373817,0.27718952960048054,15.281047039951934
25,0.27718952960048054,2.213540942854064,-0.0022135409428540643,0.27497598865762646,15.50240113423734
26,0.27497598865762646,2.1285259647354398,-0.00212852596473544,0.272847462692891,15.715253730710884
27,0.272847462692891,2.0492990768081407,-0.002049299076808141,0.2707981636160829,15.920183638391698
28,0.2707981636160829,1.9752976956271904,-0.0019752976956271904,0.2688228659204557,16.11771340795442
29,0.2688228659204557,1.9060297311810055,-0.0019060297311810056,0.2669168361892747,16.30831638107252
30,0.2669168361892747,1.8410628555370288,-0.0018410628555370289,0.26507577333373766,16.492422666626222
31,0.26507577333373766,1.7800156809107015,-0.0017800156809107015,0.263295757652827,16.67042423471729
32,0.263295757652827,1.7225504606938258,-0.0017225504606938257,0.2615732071921332,16.842679280786673
33,0.2615732071921332,1.6683670141920497,-0.00166836701419205,0.25990484017794113,17.009515982205876
34,0.25990484017794113,1.6171976414238551,-0.0016171976414238553,0.25828764253651726,17.171235746348263
35,0.25828764253651726,1.5688028441344848,-0.0015688028441344848,0.2567188396923828,17.328116030761713
36,0.2567188396923828,1.5229677073093417,-0.0015229677073093418,0.25519587198507343,17.480412801492648
37,0.25519587198507343,1.4794988249032128,-0.001479498824903213,0.2537163731601702,17.628362683982967
38,0.2537163731601702,1.438221676390831,-0.0014382216763908313,0.25227815148377936,17.77218485162205
39,0.25227815148377936,1.3989783786724823,-0.0013989783786724824,0.2508791731051069,17.9120826894893
40,0.2508791731051069,1.3616257520052681,-0.0013616257520052682,0.2495175473531016,18.048245264689825
41,0.2495175473531016,1.3260336498489298,-0.0013260336498489298,0.24819151370325268,18.180848629674717
42,0.24819151370325268,1.292083511470871,-0.0012920835114708712,0.24689943019178182,18.310056980821805
43,0.24689943019178182,1.2596671033453812,-0.0012596671033453812,0.24563976308843644,18.436023691156343
44,0.24563976308843644,1.228685421186226,-0.0012286854211862258,0.2444110776672502,18.558892233274968
45,0.2444110776672502,1.1990477291611026,-0.0011990477291611026,0.2432120299380891,18.67879700619108
46,0.2432120299380891,1.17067071667623,-0.00117067071667623,0.24204135922141287,18.795864077858703
47,0.24204135922141287,1.1434777562645901,-0.0011434777562645902,0.2408978814651483,18.910211853485162
48,0.2408978814651483,1.1173982486993776,-0.0011173982486993778,0.2397804832164489,19.0219516783551
49,0.2397804832164489,1.0923670435925488,-0.0010923670435925487,0.23868811617285635,19.131188382714356
50,0.23868811617285635,1.0683239255125858,-0.001068323925512586,0.23761979224734375,19.238020775265614
51,0.23761979224734375,1.0452131571331797,-0.0010452131571331799,0.23657457909021057,19.34254209097893
52,0.23657457909021057,1.0229830721598936,-0.0010229830721598936,0.23555159601805067,19.44484039819492
53,0.23555159601805067,1.001585711818256,-0.0010015857118182562,0.23455001030623243,19.544998969376746
54,0.23455001030623243,0.9809764995592402,-0.00098097649955924,0.23356903380667318,19.64309661933267
55,0.23356903380667318,0.961113949375013,-0.0009611139493750132,0.23260791985729817,19.739208014270172
56,0.23260791985729817,0.9419594037423306,-0.0009419594037423307,0.23166596045355584,19.833403954644407
57,0.23166596045355584,0.9234767977415751,-0.0009234767977415752,0.23074248365581426,19.925751634418564
58,0.23074248365581426,0.9056324463518882,-0.0009056324463518884,0.22983685120946237,20.016314879053752
59,0.22983685120946237,0.8883948523094694,-0.0008883948523094693,0.2289484563571529,20.105154364284697
60,0.2289484563571529,0.871734532247646,-0.0008717345322476461,0.22807672182490527,20.19232781750946
61,0.22807672182490527,0.8556238591220867,-0.0008556238591220867,0.2272210979657832,20.27789020342167
62,0.2272210979657832,0.8400369191700403,-0.0008400369191700404,0.22638106104661315,20.361893895338675
63,0.22638106104661315,0.8249493818644049,-0.000824949381864405,0.22555611166474876,20.444388833525114
64,0.22555611166474876,0.8103383815069871,-0.0008103383815069871,0.22474577328324177,20.525422671675813
65,0.22474577328324177,0.7961824092645657,-0.0007961824092645658,0.2239495908739772,20.60504091260227
66,0.2239495908739772,0.7824612145898607,-0.0007824612145898608,0.22316712965938734,20.683287034061255
67,0.22316712965938734,0.7691557150902368,-0.0007691557150902369,0.2223979739442971,20.760202605570278
68,0.2223979739442971,0.756247914012403,-0.000756247914012403,0.2216417260302847,20.835827396971517
69,0.2216417260302847,0.7437208246036456,-0.0007437208246036457,0.22089800520568106,20.91019947943188
70,0.22089800520568106,0.7315584006909935,-0.0007315584006909935,0.22016644680499006,20.98335531950098
71,0.22016644680499006,0.719745472890879,-0.0007197454728908791,0.21944670133209918,21.055329866790068
72,0.21944670133209918,0.7082676899243311,-0.000708267689924331,0.21873843364217485,21.1261566357825
73,0.21873843364217485,0.6971114645679821,-0.0006971114645679821,0.21804132217760686,21.195867782239297
74,0.21804132217760686,0.6862639238198316,-0.0006862639238198316,0.21735505825378704,21.26449417462128
75,0.21735505825378704,0.6757128629018809,-0.0006757128629018809,0.21667934539088515,21.33206546091147
76,0.21667934539088515,0.6654467027599286,-0.0006654467027599286,0.21601389868812523,21.39861013118746
77,0.21601389868812523,0.6554544507547367,-0.0006554544507547368,0.2153584442373705,21.464155576262936
78,0.2153584442373705,0.6457256642689553,-0.0006457256642689553,0.21471271857310154,21.528728142689832
79,0.21471271857310154,0.6362504169810222,-0.0006362504169810222,0.21407646815612053,21.592353184387935
80,0.21407646815612053,0.6270192675812158,-0.0006270192675812158,0.2134494488885393,21.65505511114606
81,0.2134494488885393,0.6180232307264142,-0.0006180232307264142,0.2128314256578129,21.7168574342187
82,0.2128314256578129,0.609253750049226,-0.000609253750049226,0.21222217190776368,21.777782809223623
83,0.21222217190776368,0.6007026730543229,-0.0006007026730543229,0.21162146923470937,21.837853076529054
84,0.21162146923470937,0.5923622277500987,-0.0005923622277500988,0.21102910700695926,21.897089299304064
85,0.21102910700695926,0.5842250008776317,-0.0005842250008776317,0.21044488200608163,21.955511799391825
86,0.21044488200608163,0.5762839176112863,-0.0005762839176112864,0.20986859808847036,22.013140191152953
87,0.20986859808847036,0.5685322226164435,-0.0005685322226164436,0.20930006586585392,22.069993413414597
88,0.20930006586585392,0.5609634623599287,-0.0005609634623599287,0.208739102403494,22.12608975965059
89,0.208739102403494,0.5535714685777835,-0.0005535714685777836,0.2081855309349162,22.18144690650837
90,0.2081855309349162,0.546350342813186,-0.000546350342813186,0.207639180592103,22.23608194078969
91,0.207639180592103,0.5392944419447783,-0.0005392944419447782,0.20709988615015823,22.290011384984165
92,0.20709988615015823,0.5323983646323615,-0.0005323983646323615,0.20656748778552586,22.343251221447403
93,0.20656748778552586,0.5256569386129905,-0.0005256569386129905,0.20604183084691288,22.395816915308703
94,0.20604183084691288,0.5190652087860266,-0.0005190652087860266,0.20552276563812685,22.447723436187307
95,0.20552276563812685,0.5126184260307297,-0.0005126184260307297,0.20501014721209612,22.49898527879038
